date,ra,dec,expnum,exptime,band,ccd,mag,ml_score,objid,fakeid
2014/12/24 04:04:15,2:35:16.79,-14:18:09.9,390941,90.0,r,22,23.87,0.78,25189745,0
2014/12/16 04:41:53,2:35:43.58,-14:21:48.9,388201,90.0,i,26,23.28,0.858,25564805,0
2014/12/12 04:48:56,2:35:58.88,-14:23:17.2,386740,90.0,i,23,23.42,0.742,24509371,0
2014/12/12 04:46:58,2:35:58.89,-14:23:17.2,386739,90.0,z,23,23.19,0.645,24541494,0
